,SMILES,Epoch
0,c1(c(c(c(c2c1nc(c(n2)OC)C)c1c(c(co1)C)OC)SC)OC)c1c(c(c(s1)c1ccc(c2ccco2)o1)OC)O,1
1,c1(nccc2c1nn(n2)C)c1c(c2c(c(c3c(c2c2cc(c(c(c2)C)F)F)occ3OC)c2cc(c(c(c2)F)F)F)s1)O,1
2,c1(c(c(c(c2c1nc(c(n2)OC)C)c1c(c(co1)SC)SC)SC)OC)c1c(c(c(s1)c1c(c2c(c(cs2)F)s1)SC)F)S,1
3,c1(c(c(c(c2c1nc(c(n2)C)OC)c1c(c(cs1)SC)SC)SC)SC)c1cc(c(o1)c1c(c2c(c(cs2)SC)o1)C)O,1
4,c1(c(c(c(c2c1nc(c(n2)OC)C)c1c(c(co1)SC)SC)F)F)c1c(c(c(s1)c1c(c2c(c(cn2C)SC)s1)SC)SC)O,1
5,c1(c(c(cc2nonc12)OC)OC)c1cc(c(c2c(ccn2C)F)o1),1
6,c1(cc(cc2nn(nc12)C)F)c1oc2c(c(c3c(c2)c(cn3C)F)F)c1,1
7,c1(c(c(c(c2c1nc(cn2)SC)c1c(c2c(c(co2)OC)n1C)SC)C)SC)c1cc2c(s1)c(c(n2C)c1cc2c(c3c(c(co3)F)o2)s1),1
8,c1(c(c(cc2nsnc12)OC)OC)c1oc2c(c(c3c(c2c2ccccc2)sc(c3C)c2cc(c(cc2)C)OC)cc(c1OC)OC)O,1
9,c1(nccc2c1nn(n2)C)c1c(c2c(c(c3c(c2c2cc(c(c(c2)SC)SC)SC)occ3SC)c2cc(c(c(c2)C)C)C)s1)O,1
10,c1(c(c(cc2c1nc(c(n2)F)SC)SC)SC)c1c(c2c(cco2)n1C)O,1
11,c1(c2c(c(o1)c1cc(co1)F)C(=O)c1c(C2=O)cc(c(c1)OC)SC)c1cc(c(s1)c1oc2c3sccc3[nH]c2c1)S,1
12,c1(c(ccc2nn(nc12)C)C)c1c(cco1)O,1
13,c1(c(c(c(c2c1nc(c(n2)F)C)c1c(c2c(s1)c(cn2C)SC)C)SC)c1cc(c(o1)F)OC),1
14,c1(nccc2c1nsn2)c1c(c2c(c(c3c(c2c2cc(c(c(c2)C)C)C)occ3C)c2cc(c(c(c2)F)F)F)o1),1
15,c1(c(ccc2c1ncc(n2)C)F)c1c(cc(c2cccs2)n1C),1
16,c1(c(c(c(c2c1nc(c(n2)F)C)c1c(c(co1)C)SC)OC)C)c1c(cc(o1)c1cc2c(c3c(c(co3)C)o2)n1C),1
17,c1(c(cc(c2nn(nc12)C)c1c(c(cs1)F)OC)F)c1c(c(c(n1F)c1oc2c(c(c3c(c2c2cc(c(cc2)F)SC)c(cs3)SC)c2cc(c(c(c2)F)OC)F)c1OC)F)S,1
18,c1(c(c(c(c2nonc12)c1c(c(cs1)F)OC)SC)OC)c1c(c(c(s1)c1cc(c(c2c(ccs2)SC)n1C)C)F),1
19,c1(nccc2c1non2)c1c(c2c(c(c3c(c2c2cc(c(c(c2)C)F)F)c(cs3)SC)c2cc(c(c(c2OC)C)C)n1C)OC),1
20,c1(c(cc(c2nn(nc12)C)c1c(c(cn1C)C)OC)C)c1c(c(c(o1)c1ccc(c2c(cco2)OC)o1)OC)O,1
21,c1(nccc2c1nn(n2)C)c1c(c2c(c(c3c(c2OC)c(co3)C)F)o1)O,1
22,c1(c(ccc2c1nc(c(n2)SC)SC)OC)c1cc(c(c2cccn2C)o1)S,1
23,c1(c(c(cc2c1nc(c(n2)OC)SC)F)c1c(c2c(c3c(cc2n1C)c(cs3)F)SC)SC),1
24,c1(c(c(c(c2c1nccn2)c1c(c(cs1)C)SC)SC)SC)c1c(c(c(n1C)c1cc(c(c2c(ccn2C)C)s1)SC)F)S,1
25,c1(cc(cc2nn(nc12)C)F)c1c(c2c(c3c(c(co3)F)o2)s1)S,1
26,c1(nccc2c1nn(n2)C)c1cc2c(s1)c1c(C2)cc(s1)c1cc(c(c2c(ccn2C)C)o1)O,1
27,c1(cc(cc2nn(nc12)C)F)c1c(c2c(cco2)n1C)O,1
28,c1(c(c(cc2nonc12)OC)OC)c1c(c2c(c(co2)C)n1C)O,1
